---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  TIME (ps)  |  RW REQ / RESP  |    ADDR    |       TAG        |       BYTEEN       |                                                                DATA                                                                |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|    4135000  |     READ REQ    |  2000000   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    4171000  |       RESP      |     N/A    |  0               |         N/A        |  40850513000015170005006b00100513114000ef00b5106b1205859300000597fc1025730005006b00100513090000ef00b5106b09c5859300000597fc102573  |
|    4241000  |     READ REQ    |  2000002   |  80000000000001  |  0xxxx00000000     |                                                                N/A                                                                 |
|    4277000  |       RESP      |     N/A    |  80000000000001  |         N/A        |  40b1013300a51593cc102573ff00013776018193000011970005006bfff005130005006b0000051300040193000080670fd0006f230505138000053700078863  |
|    4343000  |     READ REQ    |  2000002   |  0               |  x000000000000     |                                                                N/A                                                                 |
|    4379000  |       RESP      |     N/A    |  0               |         N/A        |  40b1013300a51593cc102573ff00013776018193000011970005006bfff005130005006b0000051300040193000080670fd0006f230505138000053700078863  |
|    4449000  |     READ REQ    |  2000003   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    4485000  |       RESP      |     N/A    |  0               |         N/A        |  51300008067fff0051300008067fff00513000080670005006b0000051300068663cc3026f3fc02721300a20233437202130000121702b5053300000593       |
|    4751000  |     READ REQ    |  2000005   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    4787000  |       RESP      |     N/A    |  0               |         N/A        |  171000ef00a40533000005930000061300000513069000ef00020413ea4585930000159700020513000006130007806bfff007930081242300112623ff010113  |
|    4979000  |     READ REQ    |  2000027   |  0               |  0xxxx0000         |                                                                N/A                                                                 |
|    5015000  |       RESP      |     N/A    |  0               |         N/A        |  8f76c63fe060793ffc8f61306079863000507130035779304c7fe63003007930607926300c508b30037f79300a5c7b3ec8ff0ef00040513000780e700078463   |
|    5137000  |     READ REQ    |  2000029   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    5173000  |       RESP      |     N/A    |  0               |         N/A        |  1707130005c683f80780e300158593fed70fa300377793001707130005c68300008067ff1768e3fef70fa300158593001707130005c783ff157ce300050713    |
|    5229000  |     READ REQ    |  2000028   |  0               |  x000000000000     |                                                                N/A                                                                 |
|    5265000  |       RESP      |     N/A    |  0               |         N/A        |  80670117686300f585b300f7073300478793ffc7f79340e787b3fff60793fec7e8e3ff07ae2300468693004787930006a803000707930005869302c77c63      |
|    5387000  |     READ REQ    |  200002b   |  0               |  0xxxx00000000     |                                                                N/A                                                                 |
|    5423000  |       RESP      |     N/A    |  0               |         N/A        |  a07906300f7779302c37e630005071300f00313f19ff06ffaf768e3024585930247071302d7202301072e2300672c2301c72a2301d7282301e7262301f72423   |
|    5509000  |     READ REQ    |  200002c   |  0               |  x000000000000     |                                                                N/A                                                                 |
|    5545000  |       RESP      |     N/A    |  0               |         N/A        |  5686b3000002970026969340c306b30000806700061463fed766e30107071300b7262300b7242300b7222300b7202300e686b300f67613ff06769308059263    |
|    5615000  |     READ REQ    |  200002d   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    5651000  |       RESP      |     N/A    |  0               |         N/A        |  b7002300b700a300b7012300b701a300b7022300b702a300b7032300b703a300b7042300b704a300b7052300b705a300b7062300b706a300b7072300c68067    |
|    5697000  |     READ REQ    |  200002e   |  0               |  0xxxx             |                                                                N/A                                                                 |
|    5733000  |       RESP      |     N/A    |  0               |         N/A        |  f6063340f70733ff07879300028093fa0680e700008293005686b30000029700279693f6dff06f00d5e5b30105969300d5e5b3008596930ff5f59300008067    |
